;id;;lat;;lng;
mark0;1813926;mark1;44.28717;mark2;1.79469;mark3
mark0;1824679;mark1;45.70835;mark2;0.14446;mark3
mark0;1900028;mark1;44.11113;mark2;1.99059;mark3
mark0;1908427;mark1;43.624;mark2;1.467;mark3
mark0;1911364;mark1;43.638;mark2;1.534;mark3
mark0;1927000;mark1;43.70125;mark2;1.81502;mark3
mark0;1933365;mark1;43.47208;mark2;1.38049;mark3
mark0;2005813;mark1;44.27593;mark2;1.66346;mark3
mark0;2037091;mark1;43.64515;mark2;1.37605;mark3
mark0;2052491;mark1;48.281;mark2;-3.096;mark3
mark0;2064144;mark1;44.4397;mark2;1.05127;mark3
mark0;2162891;mark1;44.25492;mark2;1.91293;mark3
mark0;2169660;mark1;44.52855;mark2;0.26549;mark3
mark0;2176976;mark1;44.41;mark2;0.97;mark3
mark0;2177103;mark1;44.41;mark2;0.97;mark3
mark0;2198664;mark1;43.06409;mark2;0.1501;mark3
mark0;2199370;mark1;44.2293;mark2;0.8887;mark3
mark0;2201435;mark1;43.31148;mark2;1.45651;mark3
mark0;2202188;mark1;45.652;mark2;0.153;mark3
mark0;2205242;mark1;44.35;mark2;2.045;mark3
mark0;2234753;mark1;44.96245;mark2;-0.40682;mark3
mark0;2239472;mark1;45.73229;mark2;0.08618;mark3
mark0;2243288;mark1;43.949;mark2;0.645;mark3
mark0;2253460;mark1;44.20949;mark2;1.24739;mark3
mark0;2254246;mark1;45.652;mark2;0.15642;mark3
mark0;2255714;mark1;45.65556;mark2;0.15031;mark3
mark0;2323503;mark1;44.01351;mark2;1.35896;mark3
mark0;2329764;mark1;44.53018;mark2;0.09374;mark3
mark0;2329812;mark1;44.23361;mark2;1.7697;mark3
mark0;2356964;mark1;45.00756;mark2;-0.26247;mark3
mark0;2365836;mark1;45.05681;mark2;-0.37199;mark3
mark0;2369475;mark1;44.20839;mark2;1.56575;mark3
mark0;2397938;mark1;44.41246;mark2;1.23346;mark3
mark0;2410062;mark1;44.4016;mark2;1.06611;mark3
mark0;2452052;mark1;44.31476;mark2;1.50717;mark3
mark0;2463074;mark1;44.20957;mark2;2.104;mark3
mark0;2463652;mark1;44.063;mark2;1.95;mark3
mark0;2467270;mark1;44.15144;mark2;1.75549;mark3
mark0;2471855;mark1;44.24517;mark2;1.72124;mark3
mark0;2491974;mark1;44.063;mark2;1.95;mark3
mark0;2492044;mark1;44.063;mark2;1.95;mark3
mark0;2492138;mark1;44.063;mark2;1.95;mark3
mark0;2499727;mark1;44.19029;mark2;1.28564;mark3
mark0;2513769;mark1;44.18114;mark2;1.86943;mark3
mark0;2522200;mark1;43.73385;mark2;1.36452;mark3
mark0;2527539;mark1;44.21752;mark2;1.97431;mark3
mark0;2544625;mark1;44.40316;mark2;1.24101;mark3
mark0;2550523;mark1;44.35915;mark2;0.88409;mark3
mark0;2556804;mark1;44.39941;mark2;0.92582;mark3
mark0;2567522;mark1;44.018;mark2;1.355;mark3
mark0;2579389;mark1;44.79514;mark2;0.06508;mark3
mark0;2579681;mark1;43.90162;mark2;1.34797;mark3
mark0;2597310;mark1;43.727;mark2;1.417;mark3
mark0;2605489;mark1;44.07798;mark2;1.65183;mark3
mark0;2650333;mark1;44.33819;mark2;1.54503;mark3
mark0;2652139;mark1;43.95714;mark2;1.81052;mark3
mark0;2661858;mark1;44.10182;mark2;1.08382;mark3
mark0;2666343;mark1;44.556;mark2;0.166;mark3
mark0;2674495;mark1;43.95177;mark2;1.51557;mark3
mark0;2682538;mark1;43.87688;mark2;1.56134;mark3
mark0;2683463;mark1;43.624;mark2;1.467;mark3
mark0;2687774;mark1;43.47356;mark2;1.38177;mark3
mark0;2706203;mark1;44.15536;mark2;1.73637;mark3
mark0;2707271;mark1;45.65547;mark2;0.06762;mark3
mark0;2724193;mark1;44.19663;mark2;1.70562;mark3
mark0;2733706;mark1;44.18637;mark2;2.10255;mark3
mark0;2735937;mark1;44.17888;mark2;1.86916;mark3
mark0;2735960;mark1;44.18109;mark2;1.86709;mark3
mark0;2768651;mark1;44.21406;mark2;1.22933;mark3
mark0;2778423;mark1;44.07023;mark2;1.81832;mark3
mark0;2783066;mark1;44.33437;mark2;1.4855;mark3
mark0;2783093;mark1;44.33603;mark2;1.48518;mark3
mark0;2783940;mark1;43.43769;mark2;1.43732;mark3
mark0;2796600;mark1;45.79626;mark2;0.13573;mark3
